msg_length,num_links,has_phone_num,money_mention,urgency_words,all_caps_ratio,exclamation_count,suspicious_keywords,sender_known,reply_requested,label
68.987434,2.665538,1.0,1.1824417,3.8481855,0.22718453,0.18250848,4.0800595,-0.12904947,0.98562306,1.0
110.415665,0.29878142,1.0,1.2362304,0.8903862,0.28808212,0.39313793,3.484325,1.3712317,0.61140627,1.0
90.361015,1.056029,0.0,0.74129117,1.9829326,0.53813463,2.3039043,6.1777787,0.08006915,0.9586577,1.0
224.63777,0.042048167,0.17978767,0.23321216,-0.0045389133,0.07993351,0.6651706,-0.33120257,0.6360539,0.46416116,0.0
78.791466,-0.11697233,1.0,0.29148072,1.765361,0.28367406,1.1277797,1.3084416,1.191185,0.19133057,0.0
83.68573,1.1197951,0.018471958,0.9994463,2.4663467,0.82565284,4.9315243,0.939817,0.31738168,-0.12746972,1.0
81.562645,0.7583261,1.0,0.7100658,1.8741204,1.0328207,3.0925798,1.2348955,0.12486445,1.3823646,1.0
38.164368,1.1853691,1.0,0.8301571,4.4335356,0.28794408,3.149932,2.2728212,-0.10810118,-0.29074615,0.0
96.731674,1.8435929,0.19633403,0.16985314,1.8109704,0.0064076227,0.45995367,1.8548514,0.046050187,0.061833203,1.0
146.31198,0.73534423,0.0,-0.23146214,1.0497738,0.046348978,0.06710216,-0.23941414,0.094579436,-0.42094156,0.0
102.284195,1.0002191,0.0,1.0777023,1.8104879,1.2418293,2.825749,4.166543,0.34244463,0.9460034,0.0
37.8271,0.3660754,1.0,1.1657329,7.114156,0.9611286,1.8323467,2.4016597,0.90749395,0.13319054,1.0
262.79993,-0.0117093725,0.072065115,0.2896405,1.0135928,-0.13731366,1.1650478,3.0301802,1.0590172,-0.023566177,0.0
151.71642,-0.075258434,0.0,0.17723721,0.31734335,0.047833335,-0.5083266,0.107636616,0.610705,0.46242252,0.0
152.15894,0.018591678,1.0,0.093283914,0.8296261,-0.15496957,-0.36207044,3.089129,0.6300487,-0.1487916,0.0
103.383354,0.6144347,0.0,1.4531808,-0.26164842,0.79483885,2.8787525,7.3499603,-0.14894642,1.1875027,1.0
111.26091,2.4127111,0.0,1.2858275,1.7389032,0.24161649,1.20387,0.70188683,-0.55686873,1.1104896,1.0
76.23598,0.47820815,0.78584784,0.776728,0.7851052,0.90829635,0.026983975,-0.13694844,1.0328163,0.35161898,0.0
27.643713,1.0244672,0.331118,-0.08949687,0.042715326,0.09033836,1.0418093,2.1687317,0.4558011,1.0065777,1.0
99.66993,0.3099339,0.15345997,-0.06613006,0.9400794,0.600578,2.0510988,1.3473389,1.1679018,-0.26989907,0.0
116.26566,1.3925129,1.0,-0.35864243,4.2877955,1.1319295,0.30439472,1.0928655,0.05318449,0.9431024,1.0
86.75908,0.61992276,0.0,0.94515646,2.208099,0.5775688,-0.29708204,0.983644,1.3373454,0.10115917,0.0
80.19809,0.10135362,1.0,1.2681514,1.1673257,0.054263096,4.8946934,1.7637776,1.2029282,0.6691807,1.0
137.98608,0.6657944,0.0,0.5750544,4.2765894,1.0638351,1.9867872,2.4570296,-0.4136444,1.2282246,1.0
